ds,Actual,Forecast
2007-08-31,254.755,251.75715845001045
2007-09-03,254.86,252.07646698810905
2007-09-04,254.99,252.11971828508
2007-09-05,255.9,252.21711623484498
2007-09-06,254.285,252.36006276912082
2007-09-07,257.71,252.44386976788326
2007-09-10,256.975,252.6864599798945
2007-09-11,253.155,252.71696494302287
2007-09-12,254.215,252.80815889619603
2007-09-13,254.08,252.95125400495093
2007-09-14,254.45,253.04120096120766
2007-09-17,255.07,253.33222143199603
2007-09-18,252.61,253.38623483867966
2007-09-19,251.5,253.50304381624306
2007-09-20,251.18,253.67281167437167
2007-09-21,249.925,253.7894084727246
2007-09-24,250.135,254.14953993480643
2007-09-25,250.8,254.21963638396107
2007-09-26,250.93,254.3475836880728
2007-09-27,250.3,254.52283450725523
2007-09-28,251.015,254.6386886779191
2007-10-01,250.57,254.95592804644832
2007-10-02,251.65,254.99792379711158
2007-10-03,251.935,255.0911810354034
2007-10-04,252.19,255.2255951613893
2007-10-05,250.275,255.29506672970666
2007-10-08,250.29,255.4479410724394
2007-10-09,249.52,255.42997585573306
2007-10-10,249.99,255.46249531156528
2007-10-11,249.43,255.53654267061728
2007-10-12,250.495,255.5471699737899
2007-10-15,250.535,255.54364855057042
2007-10-16,251.285,255.48358029612962
2007-10-17,251.11,255.4804125234165
2007-10-18,250.405,255.525833313495
2007-10-19,251.665,255.51538689449703
2007-10-22,252.155,255.49639274721983
2007-10-23,251.77,255.44703425055178
2007-10-24,251.75,255.46206057574037
2007-10-25,250.98,255.53264941403452
2007-10-26,251.04,255.55369060865138
